country_id;country_name;powerplant_name;gppd_idnr;capacity_mw;latitude;longitude;primary_fuel_id;primary_fuel;source;url;geolocation_source;generation_gwh_2013;generation_gwh_2014;generation_gwh_2015;generation_gwh_2016;generation_gwh_2017
3;United States of America;Saxon Falls;USA0001756;16;465392;-903742;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;10199;12243;10765;6825;77410000000000000
3;United States of America;Sayreville;USA0002390;2120;404765;-743523;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;0;16730000000000000;8304;37360000000000000;-7350000000000000
3;United States of America;Sayreville Cogeneration Facility;USA0010308;43020000000000000;404390;-743444;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1210406;14011941000000000;12704276;9411700000000000;846682
3;United States of America;Scammon Bay;USA0057056;13;618430;-1655815;6;Oil;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1675;168;0;0;1653
3;United States of America;Scanlon;USA0001899;16;467091;-924217;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;6773000000000000;5684;7776;10076;9454
3;United States of America;Scattergood;USA0000404;8760000000000000;339182;-1184276;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;119906296;113391201;127812002;1419960001;20026700020000000
3;United States of America;Schaghticoke;USA0002606;160;428992;-735989;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;6956;57427;4653;35716;52644
3;United States of America;Scherer;USA0006257;35640;330606;-838075;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;0;18894545751;16989296506;16240255482;14175247094
3;United States of America;Schiller;USA0002367;1712;430978;-707842;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;50883000000000000;500274003;47386400000000000;37648000300000000;351433001
3;United States of America;School Street;USA0002605;420;427850;-737080;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;14657500000000000;168338;123149;128776;164687
3;United States of America;Schoolfield Dam;USA0054655;45;365768;-794325;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1443;15138;14608;16457;14272
3;United States of America;Schuylerville;USA0002607;20;430968;-735821;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;6636;7311;634;62250000000000000;674
3;United States of America;Schuylkill Generating Station;USA0003169;398;399419;-751883;6;Oil;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1238;2447;76;74;517
3;United States of America;Scituate PV;USA0059013;25;421775;-707406;13;Solar;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;537;40760000000000000;4022;40;38930000000000000
3;United States of America;Scotland Dam;USA0000551;20;416651;-721221;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;6735;63660000000000000;4135;3383;27
3;United States of America;Scott Flat;USA0000839;10;392721;-1209325;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;4471;28850000000000000;2228;3911;4108
3;United States of America;Scrubgrass Generating Plant;USA0050974;947;412691;-798134;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;517120998;504788999;0;0;433902002
3;United States of America;Scurry County Wind II;USA0056775;1200;327181;-1007933;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;403882;413583;362221;402529;387717
3;United States of America;Scurry County Wind LP;USA0056506;1305;327204;-1009952;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;435449;451608;400175;435777;407254
3;United States of America;Seabrook;USA0006115;12420;428992;-708489;10;Nuclear;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;10926725;10168265;9484204;10761163;9990704
3;United States of America;Seabrook Solar Plant;USA0057667;68;394850;-752150;13;Solar;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;5829;4923;45200000000000000;10734;10441
3;United States of America;Seadrift Coke LP;USA0010167;76;285139;-967942;12;Petcoke;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;4593338;42845870000000000;39423;4422327;2710277
3;United States of America;Sears Hydroelectric Plant;USA0056978;14000000000000000;414614;-905803;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;2713;16440000000000000;20100000000000000;6;1
3;United States of America;Searsburg;USA0006529;40;428708;-729273;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;16644000000000000;16896;12657;13925;19721
3;United States of America;Searsburg Wind Turbine;USA0007381;60;428625;-729628;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;12196;10936;1222;12586;11177
3;United States of America;Second Imperial Geothermal;USA0054111;800;327144;-1155356;9;Geothermal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;222882;226191;204689;165507;144302
3;United States of America;Secord;USA0050159;12;440411;-843418;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;4578;45520000000000000;3706;4569;49670000000000000
3;United States of America;Security;USA0055556;34;303225;-952681;3;Waste;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;2291;2498;25233;24072;23097
3;United States of America;Sediver;USA0007957;29;349653;-811872;6;Oil;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;84;8;10200000000000000;183;65
3;United States of America;Selawik;USA0006341;17000000000000000;666068;-1600148;6;Oil;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;2829;2567;2646;28120000000000000;2805
3;United States of America;Seldovia;USA0006283;22;594395;-1517134;6;Oil;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;8700000000000000;444;7200000000000000;8700000000000000;15
3;United States of America;Selis Ksanka Qlispe;USA0002188;2076;476777;-1142339;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1067271;115934;1073292;1068156;754899
3;United States of America;Selkirk Cogen;USA0010725;4460;425744;-738592;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;1969744;0;0;0;21258500000000000
3;United States of America;Seminoe;USA0004182;51600000000000000;421561;-1069085;4;Hydro;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;90352;11962700000000000;125244;1383;128499
3;United States of America;Seminole (FL);USA0000136;14718;297331;-816328;5;Coal;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;7761402983;8210874049;7744213961;7575336968;7691667963000000
3;United States of America;Seminole (OK);USA0002956;17010;349665;-967258;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;31075240000000000;0;0;0;9767420000000000
3;United States of America;Seminole Mill;USA0050803;300;304178;-815978;2;Gas;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;103421;77402;85802;123458;96602
3;United States of America;Senate Wind LLC;USA0057981;1500;332058;-983651;1;Wind;U.S. Energy Information Administration;http://www.eia.gov/electricity/data/browser/;U.S. Energy Information Administration;517769;53755;467458;504431;492837
